	c_active_sN																																	
c_active_s	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	101	102	Total
	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.	No.
0	765621	46749	9938	3621	1652	893	560	344	251	167	140	101	92	74	48	46	35	21	21	27	28	21	23	11	15	9	7	5	6	5	4	57	46079	876671
1	45924	15024	5674	2311	1042	462	268	155	96	57	35	22	15	9	8	11	6	1	3	3	1	5	2	3	0	0	2	0	1	1	2	4	5324	76471
2	8981	5786	4108	2354	1170	620	350	176	98	79	36	24	22	10	5	8	6	5	5	2	2	0	1	0	3	0	1	2	0	0	0	5	1883	25742
3	3095	2227	2255	1700	1126	716	414	263	146	94	60	41	24	21	15	13	11	7	6	4	2	4	1	0	2	1	0	1	1	0	2	2	1050	13304
4	1305	964	1128	1110	934	658	431	291	177	139	72	48	27	21	24	11	10	7	5	5	4	3	4	0	0	0	0	1	1	1	0	3	622	8006
5	712	460	620	600	666	611	416	296	219	147	110	70	38	24	22	20	8	9	7	5	2	4	5	2	0	2	0	2	0	1	0	3	408	5489
6	436	250	333	377	404	429	399	287	230	144	124	81	51	36	27	15	16	16	5	4	4	3	3	1	2	0	0	0	1	1	0	4	264	3947
7	298	147	154	222	258	275	263	225	227	170	127	85	55	53	23	18	14	13	11	11	1	4	4	8	4	2	0	2	1	2	0	2	219	2898
8	206	64	98	147	133	188	207	221	179	146	131	79	77	46	50	36	18	9	11	11	3	5	5	4	1	4	1	1	1	1	1	2	184	2270
9	138	56	58	78	104	118	170	155	132	138	114	96	77	62	47	34	22	18	9	13	8	5	5	6	3	2	1	0	1	2	1	2	135	1810
10	116	38	41	68	83	87	79	104	118	123	105	86	72	58	54	34	27	25	16	11	6	7	7	6	2	1	1	1	0	0	2	4	118	1500
11	87	22	28	29	36	59	71	73	75	80	85	83	68	68	44	35	30	25	16	22	14	3	6	3	2	5	0	3	2	2	0	6	96	1178
12	65	9	15	27	34	50	44	49	64	55	67	68	78	55	49	49	38	25	20	13	12	14	5	5	9	3	2	3	1	4	0	4	74	1010
13	59	8	10	16	15	30	36	26	38	56	62	49	61	52	59	36	38	43	25	18	17	5	6	8	5	2	1	3	2	3	3	8	65	865
14	34	11	7	11	12	11	22	43	32	40	46	52	33	43	50	34	35	27	25	22	18	10	17	7	6	5	9	1	4	3	2	7	61	740
15	27	11	9	6	7	8	20	23	18	23	23	33	41	38	35	41	38	30	22	26	18	14	7	7	9	3	7	2	5	4	4	13	50	622
16	39	6	7	3	9	6	7	11	16	19	21	26	31	30	34	30	21	20	23	24	22	16	14	12	6	14	2	3	4	3	1	7	44	531
17	21	6	3	8	8	3	8	10	13	13	13	20	23	21	29	25	29	37	33	20	11	15	9	9	14	2	3	6	3	3	4	20	35	477
18	18	1	3	3	2	6	8	8	6	9	19	13	16	25	17	20	16	19	35	24	23	20	11	16	13	7	9	5	1	6	2	12	24	417
19	11	4	4	1	3	6	7	7	9	8	13	12	19	25	14	22	19	16	20	13	23	13	8	10	13	11	4	6	3	2	4	24	41	395
20	14	3	2	7	5	6	4	7	1	4	7	13	15	4	13	13	11	17	18	17	14	20	17	7	7	6	10	2	3	5	8	20	23	323
21	16	5	0	1	3	0	4	1	4	9	2	3	11	10	6	10	17	14	16	16	20	9	14	11	11	9	9	3	8	5	3	22	34	306
22	15	0	3	6	2	4	2	5	3	8	2	5	5	3	16	12	9	9	9	10	11	9	10	9	10	7	9	7	3	3	2	33	14	255
23	6	2	2	1	1	3	1	1	1	3	2	6	4	9	8	11	9	7	6	11	12	17	9	14	14	5	8	4	4	9	4	29	18	241
24	8	2	3	1	2	2	2	3	1	0	3	2	6	4	6	4	4	5	9	8	8	7	9	14	10	10	7	10	9	6	2	23	22	212
25	8	1	1	1	1	2	1	0	1	2	2	2	0	6	2	8	6	7	5	10	4	15	3	7	9	15	6	6	6	2	5	28	14	186
26	6	3	0	0	0	0	1	0	1	0	4	2	4	5	1	3	5	6	6	4	3	9	5	5	8	5	4	3	4	3	6	37	8	151
27	5	0	1	0	1	1	1	1	2	0	1	0	3	0	1	2	2	2	5	9	5	8	3	6	1	7	4	5	9	5	7	22	17	136
28	6	1	0	0	2	3	0	1	0	0	1	0	0	2	1	1	2	5	3	2	1	6	4	6	1	5	6	6	9	7	3	40	15	139
29	3	1	1	0	1	0	1	0	1	2	1	1	0	3	4	2	5	2	0	5	4	3	1	6	6	7	3	4	9	5	4	46	10	141
30	4	1	1	0	1	0	1	1	2	1	2	1	0	3	0	1	0	1	1	4	0	7	3	3	5	4	8	5	5	1	4	43	12	125
101	34	10	6	5	4	1	4	5	4	6	1	6	11	5	3	3	10	7	9	9	10	18	18	17	15	24	21	30	28	38	38	1032	233	1665
102	6	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	49	268	333
Total	827324	71875	24516	12714	7721	5258	3802	2793	2165	1742	1431	1130	979	825	715	608	517	455	405	383	311	300	239	223	206	177	146	132	135	133	119	1613	57464	1028556

