FECH_PR3|NIT3|PAIS3|COD_PAI3|CIU_PDES|POS_ARA3|FOB_DOL3|RAZN_IMP|DIR_PDES
200701|800250328|239|ECU|QUITO|8708999900|92919.36|ELASTO S.A.|BARTOLOME SANCHEZ N74-04 Y ANTONIO BASANTES PANAMERICANA NORTE KM 61/2
200701|890301829|239|ECU|QUITO|6811890000|43648.00|ETERNIT ECUATORIANA S.A.|PANAMERICANA SUR KM 14
200701|890301829|239|ECU|QUITO|6811890000|35784.00|ETERNIT ECUATORIANA S.A.|PANAMERICANA SUR KM 14
200701|890301829|239|ECU|QUITO|6811890000|49032.00|ETERNIT ECUATORIANA S.A.|PANAMERICANA SUR KM 14
200701|890301829|239|ECU|QUITO|6811890000|112352.40|ETERNIT ECUATORIANA S.A.|PANAMERICANA SUR KM 14
200701|811025777|249|USA|CLEVELAND, OHIO|8708502900|920.06|PDI GROUND SUPPORT SYSTEM|5905 GRANT AVENUE CLEVELAND OH 44105
200701|860536292|239|ECU|QUITO|5607500000|824.86|NT ECUADOR S.A.|PANAMERICANA NORTE KM 6.5 CONJUNTO
200701|860536292|239|ECU|QUITO|5607500000|1420.22|NT ECUADOR S.A.|PANAMERICANA NORTE KM 6.5 CONJUNTO
200701|860001619|239|ECU|CUENCA|8531800000|606.51|IMPORTADORA COMERCIALIZADORA EL HIERRO CIA LTDA|AV. HUAYA CAPAC 1-76 Y PISO BRAVO
200701|860001619|239|ECU|CUENCA|8536501900|17279.84|IMPORTADORA COMERCIALIZADORA EL HIERRO CIA LTDA|AV. HUAYA CAPAC 1-76 Y PISO BRAVO
200701|860001619|239|ECU|CUENCA|8536610000|660.66|IMPORTADORA COMERCIALIZADORA EL HIERRO CIA LTDA|AV. HUAYA CAPAC 1-76 Y PISO BRAVO
200701|860001619|239|ECU|CUENCA|8536690000|16622.52|IMPORTADORA COMERCIALIZADORA EL HIERRO CIA LTDA|AV. HUAYA CAPAC 1-76 Y PISO BRAVO
200701|860001619|239|ECU|CUENCA|8538900000|121.80|IMPORTADORA COMERCIALIZADORA EL HIERRO CIA LTDA|AV. HUAYA CAPAC 1-76 Y PISO BRAVO
200701|890940662|239|ECU|GUAYAQUIL|8409912000|24219.63|IMPORTADORA BASTIDAS ROBAYO|JOSE DE ANTEPARA Y MARACAIBO
200701|860002536|239|ECU|TULCAN|6908900000|48921.61|BENAVIDES SILVIA PATRICIA|OLMEDO 52-069 Y JUNIN
200701|860002536|239|ECU|GUAYAQUIL|8481801000|473.70|MEGAPRODUCTOS S.A.|KM.7 VIA A DAULE FRENTE A PICA
200701|860002536|239|ECU|GUAYAQUIL|8481909000|3194.88|MEGAPRODUCTOS S.A.|KM.7 VIA A DAULE FRENTE A PICA
200701|800051838|239|ECU|QUITO|8708701000|22531.20|ELASTO S.A|PAN N KM 6 1/2 BARTOLOME SANCHEZ Y HERNANDO D
200701|800051838|239|ECU|QUITO|8708701000|26083.20|ELASTO S.A|PAN N KM 6 1/2 BARTOLOME SANCHEZ Y HERNANDO D
200701|860002536|239|ECU|GUAYAQUIL|8481801000|725.00|MEGAPRODUCTOS S.A.|KM.7 VIA A DAULE FRENTE A PICA
200701|860002536|239|ECU|GUAYAQUIL|8481801000|4859.76|MEGAPRODUCTOS S.A.|KM.7 VIA A DAULE FRENTE A PICA
200701|860002536|239|ECU|GUAYAQUIL|8481801000|1590.00|MEGAPRODUCTOS S.A.|KM.7 VIA A DAULE FRENTE A PICA
200701|860002536|239|ECU|GUAYAQUIL|8481801000|2010.00|MEGAPRODUCTOS S.A.|KM.7 VIA A DAULE FRENTE A PICA
200701|860002536|239|ECU|GUAYAQUIL|3922200000|700.00|MEGAPRODUCTOS S.A.|KM.7 VIA A DAULE FRENTE A PICA
200701|890903310|239|ECU|GUAYAQUIL|3906909000|27539.38|POLIQUIM POLIMEROS Y QUIMICOS C.A|KM 9.5 VIA A DAULE PRQ IND. INMACONSA
200701|890903310|239|ECU|GUAYAQUIL|3906909000|8530.74|POLIQUIM POLIMEROS Y QUIMICOS C.A|KM 9.5 VIA A DAULE PRQ IND. INMACONSA
200701|800172251|239|ECU|GUAYQUIL|2203000000|12473.74|COMPAÑIA DE CERVEZAS NACIONALES|KM 16 1/2 VIA DAULE CALLE COBRE
200701|860023573|239|ECU|CUENCA|2202900000|75735.17|DISTRIBUIDORA JCC CIA. LTDA|OCTAVIO CHACON 417 P. INDUST.
